country,cases,deaths,cases/million,deaths/million,leader_name,designation,sex
Laos,19,0,2,0,,,Men
Zimbabwe,18,3,1,0,,,Men
Belize,18,2,20,2,,,Men
New Caledonia,18,0,64,0,,,Men
Dominica,16,0,209,0,,,Men
Fiji,16,0,18,0,,,Men
Malawi,16,2,0,0,,,Men
Namibia,16,0,7,0,Saara Kuugongelwa,*,Women
Nepal,16,0,0,0,Bidhya Devi Bhandari,Head of state,Women
Eswatini,15,0,11,0,,,Men
Saint Lucia,15,0,78,0,,,Men
Curaçao,14,1,88,6,,,Men
Grenada,14,0,107,0,,,Men
Saint Kitts and Nevis,14,0,208,0,,,Men
Botswana,13,1,6,0,,,Men
St. Vincent and the Grenadines,12,0,108,0,,,Men
Cape Verde,11,1,13,2,,,Men
Central African Republic,11,0,1,0,,,Men
Falkland Islands,11,0,1563,0,,,Men
Greenland,11,0,196,0,,,Men
Nicaragua,11,1,1,0,,,Men
Northern Mariana Islands,11,2,196,36,,,Men
Montserrat,11,0,1604,0,,,Men
Seychelles,11,0,113,0,,,Men
Sierra Leone,11,0,1,0,,,Men
Åland Islands,10,0,301,0,,,Men
Suriname,10,1,17,2,,,Men
Turks and Caicos Islands,10,1,193,24,,,Men
Gambia,9,1,2,0,,,Men
Vatican City,8,0,10013,0,,,Men
Mauritania,7,1,2,0,,,Men
Saint Barthélemy,6,0,613,0,,,Men
East Timor,6,0,1,0,,,Men
Artsakh,5,0,7,0,,,Men
Burundi,5,1,0,0,,,Men
Bhutan,5,0,7,0,,,Men
São Tomé and Príncipe,4,0,20,0,,,Men
South Sudan,4,0,0,0,,,Men
Anguilla,3,0,202,0,,,Men
British Virgin Islands,3,0,100,0,,,Men
Papua New Guinea,2,0,0,0,,,Men
Abkhazia,1,0,4,0,,,Men
Saint Pierre and Miquelon,1,0,166,0,,,Men
Yemen,1,0,0,0,,,Men
